ID,תאריך יצירה,שם המוסד,סמל מוסד,שם מנהל/ת,סה"כ אמצעי קצה,ציון כולל,רמת בשלות,שאלה 1: תוכנית עבודה,שאלה 2: הקצאת משאבים,שאלה 3: תפקיד ייעודי,שאלה 4: מסמך הנחיות,שאלה 5: קטלוג חינוכי,שאלה 6: מעורבות הורים,שאלה 7: הסכמת הורים,שאלה 8: קוד אתי - צוות,שאלה 9: קוד אתי - תלמידים,שאלה 10: אינטרנט,שאלה 11: מקרן ורמקולים,שאלה 12: שימוש במחשב,שאלה 13: שימוש בהוראה,שאלה 14: דרכי הערכה,שאלה 15: מערכת קמפוס (Test-AI),שאלה 16: בוט אזרחות,שאלה 17: בוטים עוזרי הוראה,שאלה 18: שימוש מיטבי,שאלה 19: הכשרת תלמידים,שאלה 20: לומד עצמאי,שאלה 21: השתלמות,שאלה 22: אתגרים וחסמים,שאלה 23: תמיכה נדרשת,שאלה 24: הערות נוספות
"tciiVj9xS85IxY6twOsr","2026-02-25T16:37:26.838Z","אורט קרית ביאליק ","370312","ישראל אלהרר - פיוצ׳ריסט ","250","66","שלב 3: השלב המוגדר","3","3","5","3","4","3","5","3","5","3","4","3","2","2","2","2","3","5","3","2","1","החסם המרכזי הוא המעבר מיוזמה מקומית למערכתית – בניית מנגנון עבודה שמעניק לצוות את הסמכות, הזמן והכלים להפוך את הבינה לחלק בלתי נפרד מתרבות ההוראה בבית הספר.","הורדת חסמים וביצוע פעולות להטמעת הבינה ","עולם הבינה המלאכותית הוא כבר מזמן לא רק כלי טכנולוגי, אלא מרכיב משמעותי בארגז הכלים של תלמידינו. כדי שההטמעה שלו בתוך בית הספר תהיה נכונה ובעלת ערך, אנחנו נדרשים לשינוי תפיסתי ולזמינות מחשבתית.
אני מעוניין להקים צוות מוביל שיבחן כיצד אנו רותמים את הכלים האלו לטובת הפדגוגיה, תוך שמירה על רמה אקדמית וטיפוח חשיבה עצמאית."
"vM7TjQ3IyenKWqRpzFAW","2026-02-25T09:46:43.031Z","אורט פרס יקנעם","240170","דודי יוסף","270","51","שלב 2: השלב המבוסס","3","2","5","2","2","2","5","1","1","4","5","5","2","1","1","1","1","1","1","1","5","הגדרת תוכנית עבודה מסודרת - כולל יעדים מדידים תלת שנתית
תכנון מערכת זמן - סדירויות
הקצאת משאבי שעות","שיתוף בהצלחות - והדרכות מורים מישמים
משאבי שעות וחיזוק תשתיות","אנחנו החיתולים משתתפים בפיילוט אדוונצר.
מלמדים וויב קוד
720 
ואמחנו מרגישים מוכנים לעבור לשלב הבא"
"adoX2SIhq2oiIFK9FUdE","2026-02-25T09:44:08.610Z","אורט מאיר קרית גת","644732","רחל שולמרק","250","55","שלב 2: השלב המבוסס","3","3","5","5","3","2","1","1","1","1","5","5","2","1","2","4","2","2","3","2","2","תשתיות, רוחב פס שיתמוך בצורך השימוש, זמן להכשרה והטמעה משמעותית ויישום של צוות המורים, זמן ויכולת בקרה","עזרה בדיוק תוכנית העבודה והטמעה מול צוותי המורים. פתרון לבעיות האינטרנט שיש בבית הספר","תודה😊 "
"tsVGtFCg5dFp9ngC2Cxp","2026-02-25T09:43:47.825Z","אורט גוטמן ","471011","טל בר מעוז ","320","55","שלב 2: השלב המבוסס","2","2","5","2","1","2","1","3","2","5","5","5","4","2","2","1","1","2","2","3","3","הכשרת צוות המורים במיומנויות AI על בסיס קבוע 
תוכנית הכשרה שש שנתית לצוותית בכדי להטמיע אצל התלמידים 
מחשבים אישיים או ניידים לכל תלמיד 
","הרצאות בתחום הן להורים , לתלמידים וגם למורים 
כדי למנוע התנגדויות הורים ללימוד עצמאי 

מטמיע בית ספרי על בסיס שבועי 
אמצעי קצה לאוכלוסיות חלשות 

הנגשה של מחשבים ","אין "
"KJpabKD7z912AfMIOfSj","2026-02-25T09:43:40.074Z","אורט הנרי רונסון","640060","שרון אטלן","3","58","שלב 2: השלב המבוסס","3","2","5","2","3","1","1","1","1","5","5","5","4","4","1","1","1","2","4","4","3","רתימת המורים ולעודד אותם להתחיל, התאמה הדרכה באופן דפנרציאלי!","1. שעות תפקיד צבועות לטובת רכז ב״מ.
 2. צוות הדרכה שיגיע לבית הספר.
 3. המשך הכשרת המחצים ברשת במסגרת אורטק לסיוע המורים!","נשמח לקבל עזרה והתייחסות בהקדם"
"fjpzeZq4WXdCTYcrnd2H","2026-02-25T09:43:38.340Z","אורט סינגאלובסקי","570077","איתן בר לב","150","51","שלב 2: השלב המבוסס","3","2","5","1","2","1","5","1","1","4","5","4","3","2","1","3","2","2","1","2","1","1. ציוד קצה - לא לכל התלמידים/מורים יש את היכולת לרכוש ולהגיע כל יום עם מחשב לבית הספר
2. הכשרת מורים - שינויים בסדר עדיפויות שמנע סדירות קבועה של הכשרה למורים וארגון זמן נכון.
3. הכשרה לתלמידים - אין שיעורי אוריינות דיגיטלית וטכנולוגית במערכת
","1. ציוד קצה בדגש על כרומבוקים לכל בית הספר לטובת שליטה מלאה במהלך השיעורים המתוקשבים
2. ליווי והנחייה בבניית מערך פנימי של הדרכה ",":-)"
"y8Fn2l15bN9EPYEntSam","2026-02-25T09:41:46.436Z","אורט כרמים כרמיאל","244378","לילך רחמים","520","39","שלב 1: השלב ההתחלתי","2","1","5","1","1","1","1","1","1","2","5","4","2","1","1","1","1","1","2","2","3","מורים, הכשרה, מוטיבציה לשינוי, משמעות השינוי, הדרכה, טכנופוביה, תשתיות","הכשרה - ליווי צמוד, הדרכה צוותית, תשתיות, תקציבים","לא"
"svtDWA37rB7iCuUNOdTl","2026-02-25T09:41:17.008Z","אורט אפרידר אשקלון","670067","דבורה בוסקילה","600","57","שלב 2: השלב המבוסס","3","3","1","5","3","3","5","1","1","3","5","5","2","2","2","1","1","3","3","2","3","תשתיות אינטרנט 
התנגדויות מורים לשינויים
תלמידים-שימוש לא מושכל בכלי הב.מ 
הכשרת מורים ובעלי תפקידים
התנגדויות מצד הורים
שפה אחידה בית ספרית בתחום הב.מ
הטמעת הכלים בקרב כלל 
המורים והתלמידים.
שימוש בכלי אחיד בכל בית הספר לצורך למידה והטמעה מיטבית
כלי הערכה ומדידה למנהל ליישום כלי ב.מ בכיתות
","מורה מנטור מדריך מטעם הרשת פעם בשבוע 
טיפול בתשתיות
ליווי מטעם החברה החיצונית למשל גוגל שילמד וידריך את הצוות בבית הספר
 

","להטמיע באופן מתון ולא בפזיזות 
תודה רבה ובהצלחה"
"1pQFIwjczXKPTjuXHkcF","2026-02-25T09:41:10.709Z","מדעים ואומנויות נהריה תיכון","270298","דורית חילאי","180","58","שלב 2: השלב המבוסס","2","4","1","5","5","2","1","5","1","2","4","4","2","1","2","3","1","2","2","4","5","אתגרים - חוסר נכונות ורצון מצד המורים לשינויי, חשש מטכנולוגיה, שינוי ושילוב של כלים חדשים בכיתה. 
תשתית טכנוחוגית מאתגרת, עומס בכלים - מורים לא מיומנים בהתאמת הכלי לצורך ההוראה. 
קושי לשלב בין המקצועות במטרה להקל ולגוון את הלמידה

תלמידים - עומס בתוכניות, ","שיפור תשתיות
עזרה בחיבור עם חברות היי טק - לתהליך מתמשך, סוג של אימוץ
לשמר קשר הקיים (מנהל חדשנות בקשר הרציף עם בית הספר, ריטריט של צוות מופ, כנסים ומפגשים פיזיים)
חשיפה לכלים פדגוגיים חדשים
 להמשיך future ready


","אין"
"BseFEfAV8Re0eFOK1H0N","2026-02-25T09:40:46.072Z","אורט ישיבה תיכונית טבריה","244384","הרב גלעד מסינג","90","56","שלב 2: השלב המבוסס","3","4","5","1","1","5","1","2","2","4","4","4","4","2","2","1","1","2","2","2","4","הכשרה, ציוד קצה, הקצאת שעות במערכת השעות, פס גלישה באינטרנט, רצון ללמידה, טכנופוביה, חוסר אמון והתמסרות לכלי הבינה מלאכותית, חוסר מקצועיות בניסוח פרומפטים. ","ציוד קצה, תכניות הטמעה לצוות, שעות לביצוע התפקיד. הכוונה וליווי לפי דיסציפלינות, חשיפה וחיבור הצוות והתלמידים לתעשיית ההיי טק בצפון- פריפריה. ","תודה רבה"
"WTQpM63O3gpVChlKv49J","2026-02-25T09:40:20.290Z","אורט פסגות בית שאן","270157","ציון הרוש","100","35","שלב 1: השלב ההתחלתי","1","1","1","1","3","1","1","1","1","4","4","4","2","1","1","1","1","2","1","2","1","טכנופוביה, זמן למידה והכשרה, חוסר מוטיבציה של התלמידים","השתלמות מוסדית להכשרה ב-AI, וליווי הצוותים/ הרכזים המקצועיים להטמעה בבית הספר.
חשיפה להורים ולתלמידים, הכוללת הדרכה יישומית ארוכת טווח כחלק מתוכנית הלימודים. 
","נשמח ללמוד ולהעמיק בנושא"
"M87W2jnulPYbqVJMtGCt","2026-02-25T09:36:49.596Z","אורט זאב בוים קריית גת","640029","גיתית רון","400","76","שלב 3: השלב המוגדר","3","3","5","5","5","2","5","4","4","4","5","5","4","3","2","3","1","2","4","4","3","1. הכשרת מורים ותלמידים - הכשרת לבבות והכשרה מקצועית
2. הטמעת שימוש בכלים","רישיונות לכלי PRO
הרצאות למורים ותלמידים","אין"
"UBAN8KMn3EZn4uHj7Aig","2026-02-25T09:36:48.232Z","אורט טבעון","340059","אתי לוי","463","53","שלב 2: השלב המבוסס","3","2","5","3","3","3","5","2","2","1","5","4","3","2","1","1","1","2","2","1","2","התנגדות מה של מורים וותיקים
עומס פלטפורמות
חדשנות מול שמרנות
קשיים טכניים
צורך בהכשרות הטמעה ופניות להכשרה
","אנשי תפעול
מערך הטמעה
מומחי תוכן
מכשירי קצה
הגדרת מחוייבות לתהליך!
צוות
תקנים ושעות","תודה"
"XTT7XqGLRlEUoUGYIo6C","2026-02-25T09:36:47.224Z","אורט רבין גן יבנה","444836","דלית כהן","80","53","שלב 2: השלב המבוסס","2","2","1","4","4","2","5","3","2","1","4","3","2","2","2","2","1","2","2","4","3","1. פיתוח תשתיות 
2. אוכלוסיית המורים אינה פתוחה לשינויים טכנולוגיים 
3. פחות רצון ומוטיבציה לקבל על עצמם תפקידים נוספים. 
4. עיבוי הצוות המוביל 
5. המקצעות של הצוות המוביל וסדירות מפגשים. ","1. שיפור התשתיות (נעשתה בדיקה ואנחנו בתהליך). ושיפור החומרה בבית הספר
2. הדרכות לצוותי ההוראה בנושא בינה מלאכותית וטכנולוגיות באופן כללי.
3. הרצאות חוץ למורים ולתלמידים בנושא הבינה וטכנולוגיה. 
4. עזרה בשיווק התוכנית לצוותי ההוראה, על מנת שיקחו על עצמם תפקידים נוספים בתחום. אולי באמצעות דרבון כספי. ","לא"
"q1lKc6zmOu9eLgwiUMZm","2026-02-25T09:36:21.545Z","אורט נעמי שמר גן יבנה ","442277","ליאור גדסי- זוארץ ","220","51","שלב 2: השלב המבוסס","2","4","5","1","1","2","5","1","1","3","5","5","2","1","2","2","1","3","2","2","1","קושי של מורים לצאת מאזור הנוחות שלהם, חשש מהוספת עומס עבודה ותפיסה ששימוש בבינה מלאכותית הוא ""עוד משימה"" המקשה את עבודתם. 
קושי בבירוקרטיה בהזמנת ציוד קצה והפעלתו. 
עיקר האנרגיה של המורים מושקעת בניהול כיתה, קשר בינאישי עם תלמידים והורים , ובעקבות זאת חוסר פניות ללימוד דרכי פדגוגיה חדשניות. ","הדרכה שבועית לליווי מורים וללימוד כלי בינה מלאכותית. 
הרחבת התשתית ואמצעי הקצה בבית הספר. 
הוספת כיתות לימוד ומרחבי למידה. 
","תגמול דיפרנציאלי למורה שמתגייס למהלך
2000 שח בונוס בכל מחצית
כולל מורי חטב"
"p6vtFZt7xLqqkeMd1ZjV","2026-02-25T09:36:08.360Z","אורט טבעון","340059","אתי לוי","463","50","שלב 2: השלב המבוסס","3","2","5","2","2","3","5","2","1","2","5","5","2","1","1","1","1","2","2","1","2","התנגדות של מורים ותיקים, עומס פלטפורמות, קשיים טכניים, הסחות דעת , צורך בהכשרות, קשיים בהטמעה ופניות להכשרה והטמעה","בניית מערך הטמעה בבתי הספר","חשוב לזכור ה AI לא יחליף את המורה. מורה מוסמך AI יחליף מורה לא מוסמך"
"Igzf5uoQeoU13zMyZ1Ai","2026-02-25T09:35:21.358Z","אורט מודיעין","344911","צופית חדד","260","76","שלב 3: השלב המוגדר","3","4","5","3","3","3","5","4","5","4","5","5","4","4","2","3","2","3","3","3","3","חוסר זמן הכנה של המורים בתוך המערכת
בנוסף, מורי תיכון לחוצים לסיים את החומר לבגרות


","הכשרה למורים 
סיוע בהטמעת הנושא לכלל בית הספר ובתהליך ההטמעה","נשמח שרשת אורט יפתחו תוכנית דומה ל 720 של לומד עצמאי ובכך תסייע לבתי הספר להתמודד עם המחסור העצום של המורים
"
"ANYHLXolXV2EcDOfvjQ0","2026-02-25T09:35:13.672Z","אורט האומנים רמלה","456913","שלומי גלונזר","350","76","שלב 3: השלב המוגדר","4","4","1","5","5","2","5","1","1","4","5","5","4","4","4","1","5","3","4","4","5","- מורים לא טכנולוגיים/חוששים מטכנולוגיה
אין מענה בשל למתמטיקה ופיזיקה","כיסאות מותאמים ללמידה עם לפטופים (מקום לבקבוק)
עמדות הטענה
שיעורי לומד עצמאי פיזיקה","במרוץ לאיכות אין קו סיום וכמו שאמרה אליסה בארץ הפלאות : התואיל להגיד לי בבקשה באיזו דרך עלי ללכת מכאן שאלה אליס. זה תלוי במידה רבה לאן אתה רוצה להגיע ....... ""בטוח שתגיעי "" אמר החתול ""אם  רק תתמידי בהליכה"""
"ciphCGi3w1ewgKnFOzNY","2026-02-25T09:32:56.872Z","אורט מדעים ואומנויות נהריה","270298","דורית חילאי (עליונה) ומירי קנריק (חטיבה) ","300","63","שלב 2: השלב המבוסס","4","5","5","3","2","4","5","1","1","2","5","5","3","2","1","1","2","2","3","3","4","האתגרים/חסמים המרכזיים לקידום הטמעה מיטבתית:
מחסור בתשתיות שמייצרות הסתייגויות של הצוות.
חשש טבעי של המורים שכל הזמן הולכים אחורה למקום הנוח והמוכר כי התחום חדש ולא מוכר - שינויים מפחידים אותם.
אין זמינות של איש מחשבים בחטיבה שיכול לסייע בבעיות טכניות.
","הכנסת אנשים מומחים בתחומים שיגיעו להעביר סדנאות לצוות המורים.
שליחת מערכי שיעור מוכנים כדי להוריד את החשש, מותאמים לרמות שונות וכיתות. 
מומחים לפי תחומי דעת שידעו להתאים כלים של בינה מלאכותית לצרכים הפדגוגיים של הצוותים.
שיפור מיידי ודחוף של תשתיות האינטרנט והמחשוב של בית הספר, תוכנות, רישיונות לכלים שאנחנו רוצים לעבוד איתם.  ","בשנה הבאה נשמח שאורט יעבירו השתלמות לצוות המורים שלנו בנושא שילוב כלי בינה מלאכותית, הוראה חדשנית, אנחנו רוצים לשריין מקום מראש! 
"
"xu0aJomFeDtoCMf1Lc6s","2026-02-25T09:31:31.043Z","ישיבה תיכונית אורט מעלות","460691","אלעד ברוך","100","55","שלב 2: השלב המבוסס","1","1","5","3","3","1","1","1","1","5","5","5","4","3","1","3","3","2","2","2","3","תכנית עבודה מסודרת והבנת הצורך בקרב התלמידים ובקרב המורים. הקצאה של שעות עבור לימוד והטמעה לצוות ולתלמידים.","שעות הדרכה לצוות ולתלמידים הן בשימוש הטכני והן בגיבוש תכנית עבודה.","אין"
"Em6KIXIKVi9heIQKiPTU","2026-02-25T09:30:25.067Z","ישיבת אורט אלקנה","420026","אודי סט","150","50","שלב 2: השלב המבוסס","2","2","5","1","1","1","5","1","1","4","4","4","3","2","2","1","1","3","1","1","5","1. לא קבלנו החלטה מוסדית שהבינה המלאכותית היא סוגיה שאנו משקיעים בה.
2. התלמידים במהלך היום ללא פלאפונים. 
3. חששות לשימוש לא נכון ולא מבוקר שמבטל את החשיבה העצמיאת וכלי הניתוח שחשוב לנו שהתלמידים יתנסו בהם.
4. חסר היכרות עם כלים ברמה גבוהה שנותנים מענה איכותי","1. היכרות וחשיפה לכלים שונים שתואמים את הצריכים הבית סיפריים.
2. עזרה בהטמעה,
3. נתינת כלי בינה איכותיים לצוותי ההוראה.
4. שדרוג התשתיות שיאפשרו עבודה מיטבית.","בעז""ה נעשה ונצליח"
"F3ynZazbtGSOdH8iRn4F","2026-02-25T09:28:27.692Z","אורט חצור הגלילית","770776","דורית בטאן","100","68","שלב 3: השלב המוגדר","3","5","5","5","5","3","1","1","1","4","4","4","4","3","2","3","3","3","3","2","4","חסרה סדירות וידע למורים לשילוב  ב״מ וחשיבה ביקורתית
והערכה עם ב״מ במערכת ההוראה השותפת


טכנופדגוג במשרה מלאה","מנויים לאפליקציות שונות עם ב״מ

תוכניות הערכה מובנות במערכת בשילוב ב״מ
","אנחנו היינו רוצים למידת הסמכה בתוך תוכנית הלימודים השוטפת

היינו רוצים תמיכה אישית למורים בפיתוח והתאמת י״ח הוראה עם בינה מלאכותית

גמישות בשעות למידה רשתית לשעות הבוקר גם בחטיבה העליונה

"
"VZPXtuGoKdI8WW4JuEl3","2026-02-25T09:27:03.141Z","אורט רחובות","470054","אברהם סער","400","78","שלב 3: השלב המוגדר","5","5","5","5","5","5","5","3","3","5","5","4","2","1","1","3","3","3","4","3","3","הגעה למסה משמעותית של תלמידים. בדגש על כיתות  רגילות ול אכיתות מצוינות","חניכה צמודה, מדריכים למורים ותלמידים  וחומרי הדרכה","א.מ.ל"
"EpxxAgFAcyNFefX44Fty","2026-02-25T09:26:24.178Z","חטיבת הנעורים ""עלייה שנייה""","244616","אזולאי רויטל ","60","69","שלב 3: השלב המוגדר","2","2","1","5","4","3","5","5","5","4","5","5","5","4","1","1","1","2","2","2","5","חוסר תשתיות, חוסר ברכז ב""מ שיקדם את התהליך. 
קושי של צוות ההוראה לגשר בין הקניית הבינה המלאכותית לבין חשיבה בקורתית. 
חוסר זמן. ","מנחה חיצוני לבינה מלאכותית שידריך את צוות המורים, הרכז העתידי. ","ציוד מותאם בכל כיתה כדי לקדם את תהליך הלמידה העצמאית יחד עם הבינה המלאכותית. "
"EOLSO5K49xQrPLDfo69l","2026-02-25T09:22:32.097Z","אורט קרית ביאליק","370999","רעיה טובול","","83","שלב 3: השלב המוגדר","4","4","5","4","4","3","5","5","4","5","5","5","3","3","3","4","3","3","4","3","4","פחד משינוים
בעיות ניהול כיתה
התנסות לא מספקת של צוות המורים","הדרכת מורים
הסברים מפורטים וליווי מורים בתהליך למשך שנת הלימודים","תודה על עזרתכם "
"MXIhaqfqxq3KSQYsTvc6","2026-02-25T09:22:30.946Z","אורט אלון נוף הגליל","242072","אירית מגל","200","57","שלב 2: השלב המבוסס","3","2","5","2","4","3","1","1","1","5","5","4","2","2","2","3","2","3","1","3","3","צוות ותיק שלא תמיד מוכן לשינויים ולחשיפה לאמצעים טכנולוגיים, תחלופה של צוות המורים, חלק מהמורים חושבים שהם יודעים- אבל הם לא יודעים","ליווי של הרשת בהטמעה, עבודה עם צוותי מקצוע- ספציפית לכל מקצוע בהתאם לדרישות המקצוע ותוכניות הלימוד.
הטמעה אצל התלמידים","נשמח לכל רעיון וסיוע בהטמעה בבית הספר"
"Ey1iLoBLEOLqhvl8OKSN","2026-02-25T09:21:54.830Z","חטיבת נעורים רוז","770859","לילך חאזאז","50","47","שלב 2: השלב המבוסס","2","1","1","1","5","1","5","1","1","3","3","5","4","2","1","1","2","3","2","2","1","תשתיות, תקציבי חינוך לא מנוהלים כראוי, אמצעי קצה.","תשתיות, השתלמויות ai, תקציבים, זמן עבודה, תגמול ראוי","לאחר חשיבה רבה ובנייה של תכנית עבודה אך לאור החסמים השונים לא התאפשרה התקדמות ממשית בתכנית"
"hn9JVisK7h2wzXGhvcYq","2026-02-25T09:20:52.633Z","אורט שמריהו בירן","770859","איריס גולדנברג","150","52","שלב 2: השלב המבוסס","3","2","1","3","4","2","5","3","2","3","4","4","2","1","2","1","1","3","1","3","2","חוסר מיומנות. תשתיות, רשיונות לכלי בינה שונים. סדנאות ממוקדות תוכן","רשיונות לכלי בינה. השתלמויות למורים. אמצעי קצה.","אין"
"r1QsBR6AhH6WXqTitZvj","2026-02-25T09:20:51.549Z","אורמת","170589","רמי מיכאלה","60","37","שלב 1: השלב ההתחלתי","2","2","5","1","1","1","1","1","1","3","4","3","1","1","1","1","2","1","2","2","1","הכשרת הצוות
הצבת העניין כמטרה
מימון ""טוקנים"" לשימוש המורים","מימון רשיונות פרו וטוקנים למורים/צוות
הכשרה ייעודית לצוותי מקצוע לשימוש בכלים השונים בדסיפלינה שלהם","לא"
"k3T4S02Xd0JwENXFMXUb","2026-02-25T09:19:28.959Z","אורט אבין","570135","רותם לצטר","","77","שלב 3: השלב המוגדר","5","4","5","5","5","4","1","4","4","5","5","5","3","2","2","1","2","3","2","5","5","1. יש הרבה התנגדויות מורים שמגיעים מתרבות ישנה. 
2. כלי Ai לא תמיד הכי מוצלחים. 
3. אין שימוש נכון של התלמידים ואין חשיבה ביקורתית 
","זה תהליך שאנחנו מבינים שיקח זמן וההטמעה החלה בבי""ס.",". "
"Lvdju3F39QgcsrLjcuxY","2026-02-25T09:18:20.220Z","אורט אורן עפולה","270041","מאיה צלר","80","37","שלב 1: השלב ההתחלתי","2","1","1","2","1","1","1","1","1","3","5","5","1","1","4","1","1","1","2","1","1","אמצעי קצה ווייפיי
אוריינות תלמידים
הכשרת מורים
סדירות להובלת שינוי
זמן פיתוח","תשתיות
שעות תקן במערכת
תקן ותגמול לבעל תפקיד","אין"